t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
2.05,39.27485263,-52.10128462,0.8444611535,0.3703010839,0.4765103829,-286.9977725,215.813084,28.09855579,73.06944033,1.38467452
2.06,39.80571396,-51.44619308,0.8567783025,0.3666024958,0.4813130388,-282.0582828,225.671698,28.25781419,71.78350494,1.377768427
2.07,40.18700167,-50.80396214,0.8681672846,0.3629407648,0.4860890757,-279.659109,235.5295416,28.3722005,70.52742033,1.370896778
2.08,40.44457534,-50.17367392,0.8786767061,0.3593155648,0.4908317978,-279.5082359,245.3952901,28.4494726,69.2996222,1.364059402
2.09,40.60121007,-49.55437133,0.8883590601,0.3557265633,0.4955359549,-281.2775648,255.2789333,28.49646302,68.09852635,1.357256127
2.1,40.67623175,-48.94505357,0.8972684366,0.3521734234,0.5001975031,-284.6403518,265.190115,28.51896953,66.92252356,1.350486784
2.11,40.68554443,-48.34467159,0.9054588146,0.3486558065,0.5048133778,-289.2955323,275.1370288,28.52176333,65.76997461,1.343751203
2.12,40.64191183,-47.7521234,0.9129828532,0.3451733729,0.5093812912,-294.9806502,285.1258116,28.50867355,64.63920525,1.337049216
2.13,40.55537348,-47.16624919,0.9198910868,0.3417257837,0.5138995616,-301.4761882,295.1603217,28.48271204,63.52850122,1.330380655
2.14,40.43370502,-46.58582629,0.9262314304,0.3383127008,0.5183669727,-308.6042188,305.2421866,28.44621151,62.43610322,1.323745354
2.15,40.28286323,-46.00956398,0.9320489146,0.3349337882,0.5227826638,-316.2238619,315.3710109,28.40095897,61.36020181,1.317143146
2.16,40.10738215,-45.43609789,0.9373855819,0.3315887119,0.5271460437,-324.2253922,325.5446626,28.34831465,60.2989322,1.310573868
